date,ret,
2025-02-04,0.007317128,0.731712808
2025-02-05,0.006434174,0.64341744
2025-02-06,0.002125974,0.212597407
2025-02-07,-0.005055793,-0.505579316
2025-02-10,0.009048503,0.904850252
2025-02-11,-0.002711854,-0.271185406
2025-02-12,-0.001452359,-0.145235893
2025-02-13,0.010820823,1.082082286
2025-02-14,-0.002355743,-0.235574334
2025-02-18,0.004057971,0.405797104
2025-02-19,0.000832461,0.083246111
2025-02-20,-0.001101601,-0.110160129
2025-02-21,-0.00682597,-0.682597023
2025-02-24,-0.00623775,-0.623775011
2025-02-25,-0.005266841,-0.526684111
2025-02-26,0.0018318,0.18318
2025-02-27,-0.019485202,-1.948520194
2025-02-28,0.010672019,1.067201945
2025-03-03,-0.011306349,-1.130634856
2025-03-04,-0.003688989,-0.368898912
2025-03-05,0.006242268,0.624226809
2025-03-06,-0.010914766,-1.091476646
2025-03-07,0.004598834,0.459883446
2025-03-10,-0.017173542,-1.717354152
2025-03-11,-0.002196297,-0.219629734
2025-03-12,0.003661723,0.366172288
2025-03-13,-0.007086197,-0.708619685
2025-03-14,0.015276844,1.527684367
2025-03-17,0.004968575,0.496857484
2025-03-18,-0.007603437,-0.760343679
2025-03-19,0.007271602,0.727160168
2025-03-20,-0.002180265,-0.218026542
2025-03-21,-0.002558689,-0.255868893
2025-03-24,0.00816366,0.81636598
2025-03-25,0.002959288,0.295928779
2025-03-26,-0.008192374,-0.819237401
2025-03-27,0.000109314,0.010931366
2025-03-28,-0.012108256,-1.210825604
2025-03-31,0.005419175,0.541917488
2025-04-01,0.003563292,0.356329237
2025-04-02,0.00372681,0.372681037
2025-04-03,-0.025006434,-2.500643399
2025-04-04,-0.056710018,-5.671001804
2025-04-07,0.000381347,0.038134676
2025-04-08,-0.011036939,-1.10369387
2025-04-09,0.101951265,10.19512649
2025-04-10,-0.007308587,-0.73085867
2025-04-11,0.015713886,1.571388561
2025-04-14,0.00380937,0.380936978
2025-04-15,0.002499447,0.249944747
2025-04-16,0.00228247,0.228247013
2025-04-17,-0.003520351,-0.352035098
2025-04-21,-0.012351262,-1.235126156
2025-04-22,0.0071314,0.713140025
2025-04-23,0.016995919,1.699591862
2025-04-24,0.017111053,1.711105341
2025-04-25,0.005818002,0.581800228
2025-04-28,0.00461177,0.46117698
2025-04-29,-0.001762667,-0.176266662
2025-04-30,-0.005735426,-0.573542593
2025-05-01,-0.00218012,-0.218012035
2025-05-02,0.008343226,0.834322621
2025-05-05,0.007561649,0.75616492
2025-05-06,-0.002890437,-0.289043681
2025-05-07,-0.002048585,-0.204858526
2025-05-08,-0.004419291,-0.441929097
2025-05-09,0.001606291,0.160629082
2025-05-12,0.001826995,0.182699483
2025-05-13,0.003908339,0.390833943
2025-05-14,-0.004429861,-0.442986125
2025-05-15,0.004238065,0.423806455
2025-05-16,-0.000463832,-0.046383216
2025-05-19,0.002806354,0.280635408
2025-05-20,0.00475643,0.475642958
2025-05-21,-0.004495093,-0.449509324
2025-05-22,-0.000470766,-0.047076578
2025-05-23,-1.45E-05,-0.001451581
2025-05-27,0.015231753,1.52317531
2025-05-28,-0.003310687,-0.331068702
2025-05-29,0.003466346,0.3466346
2025-05-30,-0.002648966,-0.264896592
2025-06-02,0.010303043,1.030304331
2025-06-03,0.00070847,0.070847019
2025-06-04,0.005325982,0.532598166
2025-06-05,-0.005083395,-0.508339534
2025-06-06,-0.003084651,-0.308465095
2025-06-09,0.001945768,0.194576806
2025-06-10,0.003282512,0.328251242
2025-06-11,-0.000114067,-0.011406695
2025-06-12,0.007255311,0.72553111
2025-06-13,-0.004771652,-0.477165216
2025-06-16,0.000891985,0.089198533
2025-06-17,-0.002578645,-0.257864547
2025-06-18,-0.000962695,-0.096269542
2025-06-20,-0.002720341,-0.272034051
2025-06-23,0.006542868,0.654286825
2025-06-24,0.003196497,0.319649711
2025-06-25,0.001766603,0.176660312
2025-06-26,0.004736333,0.473633268
2025-06-27,-0.004920441,-0.492044096
2025-06-30,0.007517753,0.751775284
2025-07-01,0.00034071,0.034071039
2025-07-02,0.003347508,0.334750804
2025-07-03,0.000884173,0.088417318
2025-07-07,-0.004618115,-0.461811467
2025-07-08,-0.002768429,-0.2768429
2025-07-09,0.005669509,0.566950865
2025-07-10,0.000460192,0.046019189
2025-07-11,-0.001046045,-0.10460447
2025-07-14,0.000427865,0.042786517
2025-07-15,-0.00308213,-0.308212999
2025-07-16,0.002391691,0.239169141
2025-07-17,0.003134254,0.313425378
2025-07-18,0.000476771,0.047677063
2025-07-21,0.007202252,0.720225155
2025-07-22,0.001866946,0.186694592
2025-07-23,-0.002474228,-0.247422767
2025-07-24,-0.00203974,-0.203974003
2025-07-25,-0.000175513,-0.017551318
2025-07-28,-0.001625719,-0.162571883
2025-07-29,0.001482076,0.148207598
2025-07-30,-0.003363624,-0.336362424
2025-07-31,-0.000814888,-0.081488846
2025-08-01,-0.002241489,-0.224148869
2025-08-04,0.011040052,1.104005234
2025-08-05,-0.001702791,-0.170279077
2025-08-06,0.004678701,0.467870133
2025-08-07,0.00208348,0.208348004
2025-08-08,0.004451858,0.445185793
2025-08-11,-0.004243827,-0.424382668
2025-08-12,0.003812116,0.38121156
2025-08-13,0.002557902,0.255790151
2025-08-14,-0.003463013,-0.346301303
2025-08-15,-0.00284441,-0.284440951
2025-08-18,-0.001264819,-0.126481864
2025-08-19,-0.004868736,-0.486873574
2025-08-20,-0.000555753,-0.055575299
2025-08-21,-0.003918327,-0.391832668
2025-08-22,0.010922233,1.092223338
2025-08-25,-0.002768662,-0.276866218
2025-08-26,0.003450398,0.345039781
2025-08-27,0.00123969,0.123969009
2025-08-28,0.005328392,0.532839224
2025-08-29,-0.003151096,-0.315109627
2025-09-02,0.00251101,0.25110096
2025-09-03,0.006656474,0.66564738
2025-09-04,0.00372943,0.372942986
2025-09-05,0.00482536,0.482536039
2025-09-08,0.006955683,0.695568315
2025-09-09,3.04E-05,0.003040557
2025-09-10,0.002456779,0.24567787
2025-09-11,0.003889105,0.388910476
2025-09-12,0.000739762,0.073976206
2025-09-15,0.006300825,0.630082499
2025-09-16,0.000224848,0.02248478
2025-09-17,-0.003341615,-0.334161529
2025-09-18,0.000760643,0.07606429
2025-09-19,0.005007201,0.500720138
2025-09-22,0.006045499,0.604549944
2025-09-23,-0.000198898,-0.01988981
2025-09-24,-0.004513514,-0.451351411
2025-09-25,-0.000969544,-0.096954415
2025-09-26,0.003664001,0.366400073
2025-09-29,0.006300625,0.630062464
2025-09-30,0.003153596,0.315359633
2025-10-01,0.002638649,0.263864899
2025-10-02,0.000873421,0.087342086
2025-10-03,0.000391409,0.039140867
2025-10-06,0.005995069,0.599506874
2025-10-07,0.000842434,0.084243358
2025-10-08,0.008493834,0.849383429
2025-10-09,-0.006941067,-0.69410666
2025-10-10,-0.012017883,-1.201788262
2025-10-13,0.016362265,1.636226538
2025-10-14,0.000774328,0.077432777
2025-10-15,0.006889436,0.688943569
2025-10-16,0.003551963,0.355196282
2025-10-17,-0.000140845,-0.014084516
2025-10-20,0.013231817,1.323181686
2025-10-21,-0.0211133,-2.111330016
2025-10-22,-0.004057049,-0.40570493
2025-10-23,0.00421082,0.421082012
2025-10-24,0.004629155,0.462915542
2025-10-27,0.000584147,0.058414651
2025-10-28,0.000300887,0.030088666
2025-10-29,-0.002587725,-0.258772502
2025-10-30,0.000102395,0.010239468
